topic_EN,topic_DE,sentence_EN,evidence_label_EN,evidence_score_EN,stance_label_EN,sentence_DE_ht,evidence_label_ht,evidence_conf_ht,evidence_num_labelers_ht,evidence_accept_ht,evidence_reject_ht,stance_label_ht,stance_conf_ht,stance_num_labelers_ht,stance_pro_ht,stance_con_ht,sentence_DE_mt,evidence_label_mt,evidence_conf_mt,evidence_num_labelers_mt,evidence_accept_mt,evidence_reject_mt,stance_label_mt,stance_conf_mt,stance_num_labelers_mt,stance_pro_mt,stance_con_mt
We should ban media conglomerates,Wir sollten Medienkonglomerate verbieten,In Fine Style (1984) Sunset Records Money Man Skank (1984) Jammys One in a Million (1984) Greensleeves Great Hits of All Times (1985) Feel the Beat Greetings (1986) Power House Joint Favourites (1986) Greensleeves Level the Vibes (1987) Taxi Records Victory (1988) RAS 20 Super Hits (1990) Sonic Sounds One Big Family (1990) Power House Pick Your Choice (1993) VP Records Classics (1994) Outa!/Hightone Classics In Dub (1995) Outa!/Hightone Collection (1997) Tachyon (Japan) Half Pint (1997) VP Records Legal We Legal (1998) Artists Only! Closer to You (1999) Half Pint Music  Recollection (2000) Cornerstone R.A.S./Skunk Past to Present (2006) Ryff Music No Stress Express (2008) Half Pint Music/Essential/Universal Music Group Essential Roots Anthology (2008) Essential Media Group .,0,0,0,In Fine Style (1984) Sunset Records Money Man Skank (1984) Jammys One in a Million (1984) Greensleeves Hits of All Times (1985) Feel the Beat Greetings (1986) Power House Joint Favourites (1986) Greensleeves Level the Vibes (1987) Taxi Records Victory (1988) RAS 20 Super Hits (1990) Sonic Sounds One Big Family (1990) Power House Pick Your Choice (1993) VP Records Classics (1994) Outa!/Hihjyone Classics in Dub (1995) Outa!/Hightone Collection (1997) Tachyon (Japan) Half Pint (1997) VP Records Legal We Legal (1998) Artists Only! Coser to you (1999) Half Pint Music Recollection (2000) Cornerstone R.A.S/Skunk Past to Present (2006) Ryff Music No Stress Express (2008) Half Pint Music/Essential/Universal Music Group Essential Roots Anthology (2008) Essential Media Group.,0,1,7,0,7,,,0,0,0,In Fine Style (1984) Sunset Records Money Man Skank (1984) Jammys One in a Million (1984) Greensleeves Great Hits of All Times (1985) Feel the Beat Greetings (1986) Power House Joint Favourites (1986) Greensleeves Level the Vibes (1987) Taxi Records Victory (1988) RAS 20 Super Hits (1990) Sonic Sounds One Big Family (1990) Power House Pick Your Choice (1993) VP Records Classics (1994) Outa!/Hightone Classics In Dub (1995) Outa! /Hightone Collection (1997) Tachyon (Japan) Half Pint (1997) VP Records Legal We Legal (1998) Artists Only! Näher an You (1999) Half Pint Music Recollection (2000) Cornerstone R.A.S. /Skunk Past to Present (2006) Ryff Music No Stress Express (2008) Half Pint Music/Essential/Universal Music Group Essential Roots Anthology (2008) Essential Media Group.,0,1,7,0,7,,,0,0,0
We should ban multi-level marketing,Wir sollten das Multi-Level-Marketing verbieten,"The Ministry of Commerce and Industry, has warned citizens of Saudi Arabia, of network marketing which is banned in their country, after receiving complaints about companies like Tvi, Qnet which rely on network marketing .",1,0.6,1,"Das Ministerium für Handel und Industrie hat die Bürger Saudi-Arabiens vor Networkmarketing gewarnt, das in ihrem Land verboten ist, nachdem es Beschwerden über Unternehmen wie Tvi, Qnet erhalten hatte, die auf Networkmarketing setzen.",0,0.71218121,11,5,6,,,5,4,1,"Das Ministerium für Handel und Industrie, hat die Bürger von Saudi-Arabien gewarnt, von Netzwerk-Marketing, das in ihrem Land verboten ist, nach Erhalt von Beschwerden über Unternehmen wie Tvi, Qnet, die auf Netzwerk-Marketing verlassen.",0,0.794022328,11,3,8,,,3,2,1
We should ban multi-level marketing,Wir sollten das Multi-Level-Marketing verbieten,"Critics have argued that the use of these and other different terms and ""buzzwords"" is an effort to distinguish multi-level marketing from illegal Ponzi schemes, chain letters, and consumer fraud scams.  ",1,0.727272727,1,"Kritiker haben argumentiert, dass die Benutzung dieser und anderer verschiedener Begriffe und ""Schlagworte"" ein Bestreben ist um mehrstufigs Marketing von illegalen Ponzi-Schemen, Kettenbriefen, und Konsumerbetrugsschemen zu differenzieren.",0,0.646815463,10,5,5,,,5,5,0,"Kritiker haben argumentiert, dass die Verwendung dieser und anderer Begriffe und ""Buzzwords"" eine Anstrengung sei, um das Multi-Level-Marketing von illegalen Ponzi-Systemen, Kettenbriefen und Konsumbetrügereien zu unterscheiden.  ",0,0.879310504,10,3,7,,,3,3,0
We should ban rodenticide,Wir sollten Rodentizide verbieten,Various pesticides such as rodenticides may cause secondary poisoning .,1,1,1,Verschiedene Pestizide wie Rodentizide können Sekundärvergiftungen verursachen.,1,1,7,7,0,1,1,7,7,0,Verschiedene Pestizide wie Rodentizide können zu einer sekundären Vergiftung führen.,1,1,7,7,0,1,1,7,7,0
We should ban rodenticide,Wir sollten Rodentizide verbieten,"2006 saw an increase in numbers, to a total of over 100, thought to be the result of pet owners' fears over avian flu; and a decline, attributed to people feeding them rat poison, which led to their numbers being reduced to around six.  ",0,0.3,1,"e Steigerung der Zahlen, zu einer Gesamtzahl von uber 100, was das Resultat der Angst von Tierbesitzernn vor der Vogelgrippe  zu sein schien, und eine Verminderung, die darauf zurueckzufuehren war, dass die Leute sie mit Rattengift fuetterten, was dazu fuehrte, dass die Zahlen zu ungefaehr sechs reduziert wurden .",0,0.527758938,10,3,7,1,1,3,3,0,"Im Jahr 2006 wurden die Zahlen auf insgesamt mehr als 100 erhöht, so dass die Befürchtungen von Haustierbesitzern über die Vogelgrippe befürchtet wurden; und ein Rückgang, der den Menschen zugeschrieben wurde, die sie mit Rattengift füttern, was dazu führte, dass ihre Zahl auf rund sechs reduziert wurde.  ",1,0.706804289,10,6,4,1,1,6,6,0
We should ban the use of migrant workers,Wir sollten die Verwendung von Wanderarbeitnehmern verbieten,"Other United Nations agencies have addressed migrant domestic work, with the United Nations Development Fund for Women (UNIFEM) attempting to facilitate dialogue between countries to establish agreements that recognize migrant workers' rights protection, and the United Nations Population Fund (UNFPA) releasing a report highlighting the gendered aspects of migration.  ",0,0.5,-1,"Andere Vereinte Nationsagenturen haben Migrantenarbeit angesprochen,  mit dem Bestreben des United Nations Deveopment Fund for Women (UNIFEM), Dialog zwischen Laendern zu foerdern  um Vereinbarungen zu schaffen,  die den Migrantenarbeiterrechtsschutz . anerkennen, und dass der United Nations Population Fund (UNFPA) einen Bericht veroeffentlicht, der die gechlechtsspezifischen Aspekte der Migration hervorhebt .  ",1,0.646185049,10,5,5,-1,1,5,0,5,"Andere Organisationen der Vereinten Nationen haben mit dem Entwicklungsfonds der Vereinten Nationen für die Frau (UNIFEM) versucht, den Dialog zwischen den Ländern zu erleichtern, um Vereinbarungen zu treffen, die den Schutz der Rechte von Wanderarbeitnehmern anerkennen, und den Bevölkerungsfonds der Vereinten Nationen (UNFPA), der einen Bericht veröffentlicht, in dem die geschlechtsbezogenen Aspekte der Migration hervorgehoben werden.  ",1,0.872214126,10,6,4,-1,1,6,0,6
We should ban the use of migrant workers,Wir sollten die Verwendung von Wanderarbeitnehmern verbieten,"Researchers at the Overseas Development Institute found that these migrant workers are often subject to harassment, violence, and discrimination during their journeys at their destinations and when they return home .",1,0.6,1,"Forscher des Overseas Development Institute fanden heraus, dass diese Wanderarbeiter auf ihren Reisen am Zielort und bei der Rückkehr nach Hause oft Schikanen, Gewalt und Diskriminierung ausgesetzt sind.",1,0.893164262,10,8,2,-1,0.517497605,8,5,3,"Forscher des Overseas Development Institute stellten fest, dass diese Wanderarbeitnehmer oft Belästigungen, Gewalt und Diskriminierung ausgesetzt sind, wenn sie an ihren Bestimmungsorten reisen und nach Hause zurückkehren.",1,0.85159469,10,6,4,1,1,6,4,2
We should cancel the pledge of allegiance to the flag,Wir sollten das Versprechen der Gefolgschaft an die Fahne absagen,About half of the states encourage schools to recite the Pledge of Allegiance to the flag .  ,1,0.75,-1,"Etwa die Hälfte der Staaten ermutigen die Schulen, das Treuegelöbnis zur Fahne zu rezitieren.  ",1,0.962517134,10,9,1,-1,1,9,0,9,"Etwa die Hälfte der Staaten ermuntert Schulen, das Versprechen der Allegien an die Fahne zu rezitieren.  ",1,0.901043511,10,7,3,-1,1,7,0,7
We should cancel the pledge of allegiance to the flag,Wir sollten das Versprechen der Gefolgschaft an die Fahne absagen,"In 2009, a Montgomery County, Maryland, teacher berated and had school police remove a 13-year-old girl who refused to say the Pledge of Allegiance in the classroom.",0,0.2,0,"Im Jahr 2009, im Montgomery County, Maryland, beschimpfte ein Leheer ein 13-jaehriges Maedchen und liess sie von der Schulpolizei abholen, weil sie sich weigerte den Fahneneind im Klassenzimmer zu leisten. ",1,0.889396023,10,8,2,-1,1,8,4,4,"Im Jahr 2009, ein Montgomery County, Maryland, Lehrer berated und hatte Schulpolizei entfernen ein 13-jähriges Mädchen, das sich weigerte, die Pledge der Allegiance in der Klasse zu sagen.",1,1,10,10,0,-1,1,10,3,7
We should close landfills,Wir sollten Deponien schließen,The mayor of the city was opposed to the landfill because of the amount of toxic waste in it and the threat to the local water supply.  ,1,1,1,Der Bürgermeister der Stadt lehnte die Deponie wegen der Menge an Giftmüll und der Bedrohung der örtlichen Wasserversorgung ab.  ,1,0.790892917,12,9,3,1,1,9,9,0,Der Bürgermeister der Stadt war wegen der Menge an Giftmüll in ihm und der Bedrohung für die lokale Wasserversorgung gegen die Deponie.  ,1,1,7,7,0,1,1,7,7,0
We should close landfills,Wir sollten Deponien schließen,"Recycling computing equipment can keep harmful materials such as lead, mercury, and hexavalent chromium out of landfills, and can also replace equipment that otherwise would need to be manufactured, saving further energy and emissions.",0,0.105263158,0,"Die Wiederverwertung von Computerausstattungen kann schaedliche Materialien wie Blei, Quecksilber und Chrom VI aus den Muellhalden heraushalten und kann auch Ausstattungen, die sonst hergestellt werden muessen, ersetzen und spart somit weitere Energie und  Luftverunreinigung.",0,0.633770828,10,4,6,-1,1,4,2,2,"Das Recycling von Rechenanlagen kann schädliche Materialien wie Blei, Quecksilber und sechswertiges Chrom aus Deponien fernhalten und kann auch Geräte ersetzen, die sonst hergestellt werden müssten, um weitere Energie und Emissionen zu sparen.",0,0.593848591,10,5,5,-1,1,5,3,2
We should disband Planned Parenthood,Wir sollten Planned Parenthood entbannen,A US District Court judge ruled in favor of Planned Parenthood.,1,0.7,-1,Ein US Amtsgerichtrichter entschied zugunsten von Planned Parenthood. ,1,0.939413643,10,9,1,-1,1,9,0,9,Ein Richter des US-Bezirksgerichts entschied zu Gunsten von Planned Parenthood.,1,1,7,7,0,-1,1,7,0,7
We should disband Planned Parenthood,Wir sollten Planned Parenthood entbannen, She supports organizations including Planned Parenthood and causes related to environmental protection and LGBTQ rights .,1,0.6,-1,"Sie unterstützt Organisationen, darunter ""Planned Parenthood"" (geplante Elternschaft) und Organisationen, die sich für Umweltschutz und LGBTQ-Rechte einsetzen.",1,0.653597416,12,7,5,-1,1,7,1,6, Sie unterstützt Organisationen einschließlich Planned Parenthood und Ursachen für Umweltschutz und LGBTQ-Rechte.,1,0.667774215,10,5,5,-1,1,5,0,5
We should disband the G20,Wir sollten die G20 entbannen,"(BBC) ISD (talk) 15:39, 2 April 2009 (UTC) ""G20 strikes trillion-dollar crisis deal.""",0,0.1,0,"(BBC) ISD (talk) 15:39, 2. April 2009 (UTC) ""G20 steicht Billion-Dollar Krisenabkommen.""",0,1,7,0,7,,,0,0,0,"(BBC) ISD (talk) 15:39, 2. April 2009 (UTC) ""G20 trifft Trillionen-Dollar-Krise-Deal.""",0,0.945667016,10,1,9,,,1,0,1
We should disband the G20,Wir sollten die G20 entbannen,"PwC publishes the Low Carbon Economy Index which tracks the extent to which the G20 countries are reducing carbon intensity, which is emissions linked to energy usage .",0,0,0,"PwC veröffentlicht den ""Low Carbon Economy Index"", der das Ausmass abbildet, in dem die G20-Länder die Kohlenstoffintensität, d.h. die mit dem Energieverbrauch verbundenen Emissionen, reduzieren.",0,0.913731439,11,3,8,,,3,1,2,"PwC veröffentlicht den Low Carbon Economy Index, in dem die CO2-Emissionen der G20-Länder reduziert werden. Dies sind Emissionen, die mit der Energienutzung verbunden sind.",0,1,8,0,8,,,0,0,0
We should disband the United Nations Security Council,Wir sollten den Sicherheitsrat der Vereinten Nationen entbannen,"The UK Foreign Secretary William Hague called for an urgent session of the UNSC following Friday's ""appalling crime"" at Houla.",0,0.1,0,"Der britische  Aussenminister William Hague forderte eine dringende Sitzung des UN Sicherheitsrates in Folge des schrecklichen Verbrechens"",  am Freitag in Houla .",0,0.922819949,10,1,9,,,1,0,1,"Der britische Außenminister William Hague forderte eine Dringlichkeitssitzung des UN-Sicherheitsrats nach dem ""entsetzlichen Verbrechen"" am Freitag in Houla.",0,0.945667016,10,1,9,,,1,0,1
We should disband the United Nations Security Council,Wir sollten den Sicherheitsrat der Vereinten Nationen entbannen,"In June 2013, Barack Obama and Vladimir Putin agreed to install a secure Cyberwar-Hotline providing ""a direct secure voice communications line between the US cybersecurity coordinator and the Russian deputy secretary of the security council, should there be a need to directly manage a crisis situation arising from an ICT security incident"" (White House quote) .  ",0,0,0,"Im Juni 2013 einigten sich Barack Obama und Wladimir Putin darauf, eine sichere Cyberwar-Hotline einzurichten, die ""eine direkte sichere Sprachverbindung zwischen dem US-Cybersicherheitskoordinator und dem russischen stellvertretenden Sekretär des Sicherheitsrates bietet, falls eine Krisensituation infolge eines IKT-Sicherheitsvorfalls direkt bewältigt werden muss"" (Zitat des Weißen Hauses) .  ",0,1,7,0,7,,,0,0,0,"Im Juni 2013 einigten sich Barack Obama und Wladimir Putin darauf, eine sichere Cyberwar-Hotline zu installieren, die ""eine direkte sichere Sprachkommunikationsleitung zwischen dem US-Cybersicherheitskoordinator und dem russischen stellvertretenden Sekretär des Sicherheitsrats"" bietet, sollte es notwendig sein, eine Krisensituation direkt zu bewältigen, die sich aus einem ICT-Sicherheitsvorfall ergibt "" (Zitat des Weißen Hauses).  ",0,1,8,0,8,,,0,0,0
We should end child benefits,Wir sollten Kindergeld beenden,"The Cook Islands Party launched their campaign on October 8, promising an increased child benefit, a $1000 ""baby bonus"", water tanks for every household and to address the cost of living.",1,0.666666667,-1,"Cook Islands Party began ihre Kampagned am 8. Oktober, versprach erhoehtes  Kindergeld, einen $1,000  ""Baby Bonus"", Wassertanks fuer jeden Haushalt und Lebenskosten zu adressieren .",1,0.797892316,10,7,3,-1,1,7,1,6,"Die Cook Islands Party startete ihre Kampagne am 8. Oktober, vielversprechend ein erhöhtes Kindergeld, ein $1000 ""Baby Bonus"", Wassertanks für jeden Haushalt und um die Lebenshaltungskosten zu adressieren.",1,1,10,8,2,-1,1,8,0,8
We should end child benefits,Wir sollten Kindergeld beenden,Umar also introduced a child benefit and pensions for the children and the elderly .,0,0.5,-1,Umar führte auch ein Kindergeld und Renten für Kinder und ältere Menschen ein.,1,0.639618625,11,5,6,1,1,5,2,3,Umar führte auch eine Kindergeld-und Altersvorsorge für die Kinder und die Älteren ein.,1,0.694169842,10,6,4,,,6,1,5
We should end privatization,Wir sollten Privatisierungen beenden,On 24 March 2015 the Central Jakarta District Court ruled that the terms of the privatisation of Jakarta's water violated the common right to water guaranteed by Article 33 of the Constitution of Indonesia.,1,1,1,"Am 24. Maerz 2015 entschied das Central Jakarta  Amtsgericht, dass die Kondition der Privatisierung von Jakartas Wasser gegen die Rechte auf Wasser garantiert unter Artikel 33 der indonesischen Konstitution verstoo. ",1,0.957603462,10,9,1,-1,0.517497605,9,6,3,"Am 24. März 2015 entschied das Landgericht Zentrale Jakarta, dass die Bedingungen der Privatisierung von Jakartas Wasser gegen das in Artikel 33 der Verfassung von Indonesien garantierte gemeinsame Recht auf Wasser verstoßen.",1,0.889403345,10,8,2,1,1,8,7,1
We should end privatization,Wir sollten Privatisierungen beenden,Professor Mwandosya has also been involved in state sector reforms including privatisation on and in the crafting of Tanzanians long-term development vision (Vision 2025).  ,1,0.8,-1,"Professor Mwandosya war auch an Reformen des Staatssektors beteiligt, darunter an der Privatisierung und an der Ausarbeitung einer langfristigen Entwicklungsvision der Tansanier (Vision 2025).  ",0,1,12,1,11,,,1,0,1,"Professor Mwandosya war auch an den Reformen des Staatssektors beteiligt, einschließlich der Privatisierung von und beim Basteln der langfristigen Entwicklungsvision Tansanianiens (Vision 2025).  ",0,1,9,0,9,,,0,0,0
We should end the use of bailouts,Wir sollten die Verwendung von Rettungen beenden,"On September 30, 2008, as LDP General Affairs Council Chairman, Takashi Sasagawa suggested that the US House of Representatives rejected the bailout plan because House Speaker Nancy Pelosi is a woman .",1,0.6,1,"Am 30. September 2008 schlug Takashi Sasagawa als Vorsitzender des LDP-Rates für Allgemeine Angelegenheiten vor, das US-Repräsentantenhaus solle den Rettungsplan ablehnen, weil die Parlamentspräsidentin Nancy Pelosi eine Frau sei.",0,0.587806991,10,5,5,1,1,5,5,0,"Am 30. September 2008 schlug Takashi Sasagawa als Vorsitzender des LDP-Rats für Allgemeine Angelegenheiten vor, das US-Repräsentantenhaus lehnte den Rettungsplan ab, weil House Speaker Nancy Pelosi eine Frau sei.",0,0.656612231,11,4,7,,,4,4,0
We should end the use of bailouts,Wir sollten die Verwendung von Rettungen beenden,"In October 2008, the Labour Government of the UK introduced a bank rescue package as a response to the Financial crisis of 2007-2010.",1,0.6,-1,Im Oktober 2008 fuehrte die Labour Regierung der UK ein Bankenrettungspaket als Antwort auf die Finanzkrise 2007-2010 ein.,0,0.715346424,10,4,6,-1,1,4,1,3,Im Oktober 2008 führte die Labour-Regierung des Vereinigten Königreichs ein Bankenrettungspaket als Reaktion auf die Finanzkrise von 2007-2010 ein.,0,0.756381749,10,3,7,-1,1,3,0,3
We should end the use of mass surveillance,Wir sollten den Einsatz der Massenüberwachung beenden,Another criticism is that increasing mass surveillance could lead to the development of a surveillance state or an electronic police state where civil liberties are infringed or political dissent is undermined by COINTELPRO-like programs.,1,0.916666667,1,"Ein weiterer Kritikpunkt ist, dass eine zunehmende Massenüberwachung zur Entwicklung eines Überwachungsstaates oder eines elektronischen Polizeistaates führen könnte, in dem die bürgerlichen Freiheiten verletzt werden oder politische Meinungsverschiedenheiten durch COINTELPRO-ähnliche Programme untergraben werden.",1,0.759579949,12,9,3,1,1,9,8,1,"Eine weitere Kritik ist, dass eine zunehmende Massenüberwachung zur Entwicklung eines Überwachungsstaates führen könnte, oder ein elektronischer Polizeistaat, in dem die bürgerlichen Freiheiten verletzt oder politische Dissens durch COINTELPRO-ähnliche Programme untergraben werden.",1,0.800227711,10,8,2,1,1,8,8,0
We should end the use of mass surveillance,Wir sollten den Einsatz der Massenüberwachung beenden,"In 2013, ALG joined with over 100 civil liberties groups including the Electronic Frontier Foundation and the American Civil Liberties Union to oppose mass surveillance by the National Security Agency (NSA) in the wake of whistle blower Edward Snowden's publication of classified information revealing domestic telecommunications companies collecting the phone records of American citizens.",1,0.8,1,"Im Jahr 2013 schloss sich die ALG mit ueber 100 Buergerrechtsgruppen, einschliesslich der Electronic Frontier Foundation und der American Civil Liberties Union  an, um Massenueberwachung durch die National Security Agency (NSA) abzulehnen im Nachlauf von whistle blower Edward Snowdens Veroeffentlichung geheimer Informationen die aufdecken, dass inlaendische Telecommunicationsfirmen die Telephoninformation der amerikanischen Buerger sammeln .",1,0.504679401,10,5,5,1,1,5,4,1,"Im Jahr 2013 schloss sich ALG mit mehr als 100 bürgerlichen Freiheiten zusammen, darunter die Electronic Frontier Foundation und die American Civil Liberties Union, um gegen die Massenüberwachung durch die National Security Agency (NSA) im Zuge der Veröffentlichung von Verschlusssachen von Edward Snowden zu widersetzen, die inländische Telekommunikationsunternehmen enthüllen, die die Telefonbücher der amerikanischen Bürger sammeln.",1,1,10,9,1,1,1,9,9,0
We should end the use of public housing,Wir sollten die Nutzung des öffentlichen Wohnungsbaus beenden,"At its south-eastern end is the Glebe Estate, an area of Housing Commission properties purchased by the government of Gough Whitlam as a massive urban renewal project to provide public housing for the needy.",0,0.5,-1,"An seinem südöstlichen Ende befindet sich die Glebe Estate, ein Gebiet mit Grundstücken der Wohnungskommission, das von der Regierung von Gough Whitlam als massives Stadterneuerungsprojekt erworben wurde, um öffentlichen Wohnraum für Bedürftige bereitzustellen.",1,0.534321266,10,5,5,-1,1,5,0,5,"An seinem südöstlichen Ende befindet sich das Glebe Estate, ein Bereich der Housing Commission Immobilien, die von der Regierung von Gough Whitlam als ein massives Stadterneuerungsvorhaben erworben wurden, um öffentliche Wohnungen für die Bedürftigen bereitzustellen.",1,0.831232514,10,7,3,,,7,0,7
We should end the use of public housing,Wir sollten die Nutzung des öffentlichen Wohnungsbaus beenden,"Richard J. Mayer was the Principal Investigator on the projects of developing IDEF3, IDEF4 en IDEF6.",0,0,0,"Richard J. Mayer war der Hauptforscher fuer die Entwicklung der Projecte IDEF3, IDEF$ und IDEF6.",0,1,7,0,7,,,0,0,0,"Richard J. Mayer war der Principal Investigator für die Projekte zur Entwicklung von IDEF3, IDEF4 en IDEF6.",0,1,7,0,7,,,0,0,0
We should end the use of solitary confinement,Wir sollten die Verwendung der Einzelhaft beenden.,Proponents of solitary confinement propound that solitary confinement can improve the safety of inmates and prison staff.,1,1,-1,"Befürworter der Einzelhaft vertreten die Ansicht, dass die Einzelhaft die Sicherheit der Insassen und des Gefängnispersonals verbessern kann.",1,1,10,10,0,-1,1,10,1,9,"Die Befürworter der Einzelhaft, die die Einzelhaft vorschlagen, können die Sicherheit der Insassen und des Gefängnispersonals verbessern.",1,0.814688914,10,8,2,-1,1,8,1,7
We should end the use of solitary confinement,Wir sollten die Verwendung der Einzelhaft beenden.,"Human Rights Watch also found that prolonged use of solitary confinement can violate the 8th amendment, and in some cases be considered torture.",1,1,1,"Die Menschenrechtsorganisaton stellte auch fest, dass die verlaengerte Einsatz von Einzelhaft gegen den 8. Verfassungszusatz verstossen kann, und in einigen Faellen als Folter  betrachtet werden kann.",1,0.911536321,10,9,1,1,1,9,8,1,"Human Rights Watch stellte außerdem fest, dass eine längere Anwendung der Einzelhaft gegen den 8. Änderungsantrag verstoßen kann und in einigen Fällen als Folter angesehen wird.",1,1,7,7,0,1,1,7,7,0
We should end the use of traffic enforcement cameras,Wir sollten den Einsatz von Verkehrsdurchsetzungskameras beenden,"On April 4, 2009, Senate Bill 277 authorizing the use of speed cameras in school zones in every county in the state andin highway work zones on expressways, passed the Maryland State Senate and House of Delegates .",1,1,-1,"Am 4. April 2009 verabschiedete der Senat am 4. April 2009 die Gesetzesvorlage 277, die den Einsatz von Radarkontrollen in Schulzonen in allen Bezirken des Bundesstaates und in Autobahnbauzonen auf Schnellstraßen erlaubt, den Senat und das Abgeordnetenhaus des Bundesstaates Maryland.",1,0.795311353,10,7,3,-1,0.517497605,7,1,6,"Am 4. April 2009 hat der Senat Bill 277, der den Einsatz von Geschwindigkeitskameras in den Schulzonen in jedem Landkreis in den staatlichen andin Autobahn-Arbeitszonen auf Schnellstraßen autorisiert, den Maryland State Senat und das House of Delegates verabschiedet.",1,0.848486381,10,6,4,-1,1,6,0,6
We should end the use of traffic enforcement cameras,Wir sollten den Einsatz von Verkehrsdurchsetzungskameras beenden,"In March 2006, the Jefferson County Court of Common Pleas ruled that the city ordinance of supporting the speed camera program was illegal and unconstitutional.",1,1,1,Im Maerz 2006 entschied das Jefferson County Court of Common Pleas dass die Anordnung der Stadt das Geschwindigkeitskameraprogramm zu unterstuetzen illegal und verfassungswidrig war.,1,1,10,10,0,1,1,10,9,1,"Im März 2006 entschied der Jefferson County Court of Common Pleas, dass die Stadtverordnung zur Unterstützung des Programms zur Geschwindigkeitskamera rechtswidrig und verfassungswidrig sei.",1,1,10,9,1,1,1,9,9,0
We should fight environmental degradation,Wir sollten die Umweltzerstörung bekämpfen,The UN Millennium Ecosystem Assessment determined that environmental degradation is more prominent within wetland systems than any other ecosystem on Earth.,1,0.8,1,"Die UN-Millennium Ecosystem Assessment hat festgestellt, dass die Umweltzerstörung in Feuchtgebietssystemen stärker ausgeprägt ist als in jedem anderen Ökosystem der Erde.",1,0.571804133,10,6,4,1,1,6,6,0,"Die UN Millennium Ecosystem Assessment (Millennium Ecosystem Assessment) hat festgestellt, dass die Umweltzerstörung innerhalb von Feuchtgebieten wichtiger ist als jedes andere Ökosystem auf der Erde.",1,0.850530523,10,8,2,1,1,8,8,0
We should fight environmental degradation,Wir sollten die Umweltzerstörung bekämpfen,"Lack of regulations has led to unbridled and destructive logging that has caused environmental damage such as soil erosion, river contamination, and increased flooding.",1,0.7,1,"Ein Mangel an Regulierungen fuehrte zu grenzenloser und zerstoererischer Abholzung, die oekologischen Schaden wie Erdersosion, Flussverschmutzung, und zunehmende Ueberflutungen verursachte. ",1,0.957603462,10,9,1,1,1,9,9,0,"Die fehlende Regulierung hat zu unbändigerem und destruktivem Holzeinschlag geführt, der Umweltschäden wie Bodenerosion, Flussverseuchung und erhöhte Überschwemmungen verursacht hat.",1,1,7,7,0,1,1,7,7,0
We should fight illegal logging,Wir sollten illegale Abholzung bekämpfen,Slash-and-burn of forest for agricultural cultivation and illegal logging also has contributed to the degradation of some parts of the protected area.,1,1,1,Brandrodung von Waeldern zur landwirtschaftlichen Bewirtschaftung und illegale Abholzung haben auch zum Verfall in einigen Teilen der geschuetzten Gebiete beigetragen . ,1,0.928648718,10,9,1,1,1,9,9,0,Die Brandung des Waldes für den landwirtschaftlichen Anbau und der illegale Holzeinschlag hat auch zum Abbau einiger Teile des Schutzgebietes beigetragen.,1,1,7,7,0,1,1,7,7,0
We should fight illegal logging,Wir sollten illegale Abholzung bekämpfen,"The EU-FLEGT Programme ('Forest Law Enforcement, Governance and Trade') aims to reduce illegal logging by strengthening the sustainability and legality of forest management, improving forest governance and promoting trade in legally produced timber .",1,1,1,"Das EU-FLEGT-Programm (""Rechtsdurchsetzung, Politikgestaltung und Handel im Forstsektor"") zielt darauf ab, den illegalen Holzeinschlag zu verringern, indem die Nachhaltigkeit und Legalität der Waldbewirtschaftung gestärkt, die Politikgestaltung im Forstsektor verbessert und der Handel mit legal erzeugtem Holz gefördert wird.",1,0.964908092,10,9,1,1,1,9,9,0,"Das EU-FLEGT-Programm (""Forest Law enforcement, Governance and Trade"") zielt darauf ab, den illegalen Holzeinschlag zu verringern, indem die Nachhaltigkeit und Legalität der Waldbewirtschaftung gestärkt, die Forstverwaltung verbessert und der Handel mit legal erzeugtem Holz gefördert wird.",1,1,7,7,0,1,1,7,7,0
We should fight sedentary lifestyle,Wir sollten sesshafte Lebensweise bekämpfen,Physical inactivity is believed to contribute to cancer risk not only through its effect on body weight but also through negative effects on immune system and endocrine system.,1,1,1,"Es wird vermutet, dass koerperliche Traegheit zum Krebsrisiko beitraegt, nicht nur durch seine Auswirkung auf das Koerpergewicht, aber auch durch negative Auswirkungen auf das Immunsystem und das Endocrinesystem .",1,1,7,7,0,1,1,7,7,0,"Es wird angenommen, dass körperliche Inaktivität zum Krebsrisiko beiträgt, und zwar nicht nur durch seine Wirkung auf das Körpergewicht, sondern auch durch negative Auswirkungen auf das Immunsystem und das endokrine System.",1,0.810714733,10,8,2,1,1,8,8,0
We should fight sedentary lifestyle,Wir sollten sesshafte Lebensweise bekämpfen,"Noncommunicable diseases, partly due to a lack of exercise, are currently the greatest public health problem in most countries around the world .",1,0.9,1,"Nicht übertragbare Krankheiten, die zum Teil auf Bewegungsmangel zurückzuführen sind, stellen derzeit in den meisten Ländern der Welt das größte Problem der öffentlichen Gesundheit dar.",0,0.579398789,10,3,7,1,1,3,3,0,"Nicht übertragbare Krankheiten, die zum Teil auf mangelnde Bewegung zurückzuführen sind, sind derzeit das größte Problem der öffentlichen Gesundheit in den meisten Ländern der Welt.",1,0.607602671,10,6,4,,,6,6,0
